ioc,ioc_type,threat_campaign,malware_family,threat_actor,source_organization,source_article,source_url,article_published_date,ioc_first_seen,ioc_last_seen,confidence,status,notes
cdn.sendibt1.com,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,95,NEW,Malicious plugin and ClickFix delivery infrastructure.
cdn10.sendibt1.com,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,97,NEW,Malicious Web Media Optimizer plugin delivery host.
cdn11.sendibt1.com,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,95,NEW,Malicious plugin and ClickFix delivery infrastructure.
cdn2.sendibt1.com,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,95,NEW,Malicious plugin and ClickFix delivery infrastructure.
cdn3.sendibt1.com,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,95,NEW,Malicious plugin and ClickFix delivery infrastructure.
cdn4.sendibt1.com,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,95,NEW,Malicious plugin and ClickFix delivery infrastructure.
cdn9.sendibt1.com,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,95,NEW,Malicious plugin and ClickFix delivery infrastructure.
corralos.beer,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,97,NEW,Secondary payload infrastructure.
docusign.web-viewww.es,domain,CSuite device-code phishing campaign,Remote access tooling,CSuite,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://partner.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,92,NEW,Document-sharing impersonation infrastructure.
glegchner.com,domain,Brevo supply-chain ClickFix compromise,Web Media Optimizer backdoor,,F5 Labs,"Weekly Threat Bulletin - September 23rd, 2026",https://www.f5.com/labs/articles/weekly-threat-bulletin-september-23rd-2026,2026-09-23T12:00:00Z,,,97,NEW,Secondary payload infrastructure.
http://45.150.33.128/92961f75b259df2?force=1,url,Macfinger ClickFix campaign,Atomic macOS Stealer variant,,SANS Internet Storm Center,Macfinger ClickFix campaign,https://isc.sans.edu/diary.html?storyid=33360,2026-09-23T00:55:11Z,2026-09-21T23:12:58Z,2026-09-22T23:59:59Z,99,NEW,Initial malware download URL.
http://45.150.33.128/d4c8083a7d97?force=1,url,Macfinger ClickFix campaign,Atomic macOS Stealer variant,,SANS Internet Storm Center,Macfinger ClickFix campaign,https://isc.sans.edu/diary.html?storyid=33360,2026-09-23T00:55:11Z,2026-09-21T23:13:05Z,2026-09-22T23:59:59Z,99,NEW,Follow-up malware download URL.
https://localcontex.online/AdobecloudReader/pdf_Reader_en_install.msi,url,CSuite device-code phishing campaign,Remote access tooling,CSuite,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://partner.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,96,NEW,Malicious installer delivery URL.
https://localcontex.online/review.signal-doc.cloud/.DocuSign/,url,CSuite device-code phishing campaign,Remote access tooling,CSuite,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://partner.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,96,NEW,Credential-phishing URL.
https://velvet-otter-glagceis.life/ext-b.4f9db6afd06a.js,url,Macfinger ClickFix campaign,Atomic macOS Stealer variant,,SANS Internet Storm Center,Macfinger ClickFix campaign,https://isc.sans.edu/diary.html?storyid=33360,2026-09-23T00:55:11Z,2026-09-22T00:00:00Z,2026-09-22T23:59:59Z,98,NEW,Injected ClickFix script URL.
https://velvet-otter-glagceis.life/t.4b1009ff6c3f.js,url,Macfinger ClickFix campaign,Atomic macOS Stealer variant,,SANS Internet Storm Center,Macfinger ClickFix campaign,https://isc.sans.edu/diary.html?storyid=33360,2026-09-23T00:55:11Z,2026-09-22T00:00:00Z,2026-09-22T23:59:59Z,98,NEW,Injected ClickFix script URL.
