ioc,ioc_type,threat_campaign,malware_family,threat_actor,source_organization,source_article,source_url,article_published_date,ioc_first_seen,ioc_last_seen,confidence,status,notes
allshore-io.cam,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
ambitiousaboutautismorguk.com,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
arubanetworks-inc.com,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
aviationpioneers.info,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
carbonato-proxy-drab.vercel.app,domain,CARBONATO Docker botnet,CARBONATO,CARBONATO operators,ThreatDown,CARBONATO: a botnet built around an AI agent,https://www.threatdown.com/blog/carbonato/,2026-09-22T12:00:00Z,,,88,NEW,ThreatDown explicitly lists this FQDN as a CARBONATO LLM proxy used by the malicious Docker botnet operation.
carbonato-proxy-zeta-2.vercel.app,domain,CARBONATO Docker botnet,CARBONATO,CARBONATO operators,ThreatDown,CARBONATO: a botnet built around an AI agent,https://www.threatdown.com/blog/carbonato/,2026-09-22T12:00:00Z,,,88,NEW,ThreatDown explicitly lists this FQDN as a CARBONATO LLM proxy used by the malicious Docker botnet operation.
carbonato-proxy-zeta.vercel.app,domain,CARBONATO Docker botnet,CARBONATO,CARBONATO operators,ThreatDown,CARBONATO: a botnet built around an AI agent,https://www.threatdown.com/blog/carbonato/,2026-09-22T12:00:00Z,,,88,NEW,ThreatDown explicitly lists this FQDN as a CARBONATO LLM proxy used by the malicious Docker botnet operation.
checkingweb.net,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
conferenceuniverses.buzz,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
corporate-sync-gate.net,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
docseed.online,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
docseedn.online,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
docsendsr.online,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
documentationreviewdocument2026review.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
documentsonitustechnologies.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
downloaddocumentcontechbuilding.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
emsafetoproceedtaward.top,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
expressdocumentdelivery.org,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
fincapitalxcom.cfd,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
gddfzxa.online,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
ghs.coorpes.com,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
giiro.net,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
greaterheights.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
greenbullet.ba,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
keepsecurepasserword.cam,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
legacy-bridge-node.net,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
maillive.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
mmswerod.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pdfsecurtoview.cfd,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pdfsecurtoview.info,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pdfsecurtoview.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pdfsecurtoview365.cfd,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pdfsecurtoview365.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pdfsecurtoviewothers.cfd,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pdfsecurtoviewothers.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pdfsecurtoviewsuite.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
pikecac.cfd,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
qrcoderuser.cfd,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
selectivelife01.sbs,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
sharepointer-dr.com,domain,CSuite device-code phishing and remote-access campaign,,CSuite operators,Gurucul Threat Research,CSuite Targets US and EU Organizations with Device-Code Phishing and Remote Access,https://community.gurucul.com/articles/ThreatResearch/CSuite-Targets-US-and-EU-Organizations-23-9-2026,2026-09-23T12:00:00Z,,,88,NEW,Gurucul's high-severity threat research explicitly lists this domain as CSuite phishing or remote-access campaign infrastructure.
